QueryType,QueryText,KccAns
Cultural Practices,Farmer needs information regarding varieties of tomato,"Dear farmer, varieties of tomato- pusa ruby pusa gaurav ,naveen , shivam, sagar , bhoomika . laxmi-5005 etc."
Plant Protection,Farmer wants to know information about control of neck blast in paddy ,"For control of neck blast in paddy, farmer can spray triacyclazole 75% wp @ 120 gram per acre + streptocyclin 15 gram per acre mixed with 150-200 litre of water"
Plant Protection,Farmer needs information regarding control of brown plant hopper in paddy ,For control of brown plant hopper in paddy crop spray of imidachloprid 40% + ethiprole 40% wg @ 50-70 gram mix with 150-200 litre water per acre.
Government Schemes,Farmer need information regarding subsidy for tractor,For control of brown plant hopper in paddy crop spray of imidachloprid 40% + ethiprole 40% wg @ 50-70 gram mix with 150-200 litre water per acre.
Plant Protection,Farmer wants to know information about control of foot rot on papaya crop,"For control of stem rot / foot rot on papaya crop, farmer can spray validamycin 3% sl @ 1.5 ml per litre of water,"
Plant Protection,Farmer needs information regarding control of leaf roller insect attack in paddy crop ,For control of blast in paddy crop spray of tricyclazole 75 % wp @ 120-150 gram + streptocyclin 15 gram mix with 150-200 litre water per acre. eradication of affected plant.
Plant Protection,Farmer needs information regarding control of blast in paddy crop ,For control of blast in paddy crop spray of tricyclazole 75 % wp @ 120-150 gram + streptocyclin 15 gram mix with 150-200 litre water per acre. eradication of affected plant.
Plant Protection,Query about false smut in paddy ,Dear farmer to control false smut in paddy spray copper hydroxide 77 % wp @ 400 gram per acre + streptocycline 15 - 20 gram per acre mix with 150 - 200 litre of water .
Plant Protection,Query about panicle mites in paddy ,Dear farmer to control false smut in paddy spray copper hydroxide 77 % wp @ 400 gram per acre + streptocycline 15 - 20 gram per acre mix with 150 - 200 litre of water .
Plant Protection,Farmer wants to know information about root treatment of tomato nursery,"For root treatment of tomato nursery, farmer can prepare a solution of carbendazim 50% wp @ 2.5-3.0 gram per 1 litre of water"
Cultural Practices,Farmer want to know information about krishi vigyan kendra bilaspur contact number ,Krishi vigyan kendra bilaspur contact number-dr. amit shukla-77381-00882
Cultural Practices,Farmer want to know information about krishi vigyan kendra raipur contact number for training purpose,Krishi vigyan kendra raipur contact number for training purpose- 07712972838
Training and Exposure Visits,Query about contact number of krishi vigyaan kendra ,"Dear farmer contact number of krishi vigyaan kendra dr. r.l. sharma, 94242-82585 dr.(mrs.) rekha singh, sms 94255-17103"
Cattle shed Planning and Management,Farmer needs information regarding subsidy on poultry farming ,"Contact number of veterinary department, bilaspur- 88271-87000 (dr. r.k. sonwane)"
Cattle shed Planning and Management,"Farmer needs information regarding contact number of veterinary department, bilaspur ","Contact number of veterinary department, bilaspur- 88271-87000 (dr. r.k. sonwane)"
Varieties,Farmer wants to know availability of bengal gram variety,Variety of bengal gram available in bij nigam.
Plant Protection,Farmer needs information regarding control of leaf roller insect attack in paddy crop ,For control of brown plant hopper in paddy crop spray of imidachloprid 40% + ethiprole 40% wg @ 50-70 gram mix with 150-200 litre water per acre.
Plant Protection,Farmer wants to know about control of sheath blight disease in paddy,For control of sheath blight disease in paddy spray validamycin 3% l @ 250 ml per acre with 150 to 200 litre of water. remove infected plants and do not irrigate your field.
Plant Protection,Farmer needs information regarding control of panicle mite in paddy crop ,For control of brown plant hopper in paddy crop spray of imidachloprid 40% + ethiprole 40% wg @ 50-70 gram mix with 150-200 litre water per acre.
Plant Protection,Farmer wants information about control of false smut in paddy crop ,For control of false smut in paddy crop spray of copper hydroxide 77 % wp @ 350 gram + streptocycline 15 gram per acre with 150-200 litre of water .
Plant Protection,Farmer wants to know about control of stem borer attack in paddy,Dear farmer for the management of plant hopper in paddy crop apply flonicamid 50% wg @ 80 gram/acre with 150-200 litre of water.
Plant Protection,Query about green plant hopper in paddy ,Dear farmer to control panicle mite in paddy crop spray propargite 57% ec @ 300 millilitre per acre mix with 150 - 200 litre of water .
Plant Protection,Query about citrus canker in citrus ,Dear farmer to control panicle mite in paddy crop spray propargite 57% ec @ 300 millilitre per acre mix with 150 - 200 litre of water .
Plant Protection,Query about white fly in chilly ,Dear farmer to control white fly in chilly spray diafenthiuron 50% wp @ 250 gram per acre mix with 150 - 200 litres of water .
Plant Protection,Farmer needs information regarding control of sheath blight in paddy ,For control of sheath blight in paddy crop spray of validamycin 3% l @ 300 ml mix with 150-200 litre water per acre. eradication of affected plant.
Plant Protection,Farmer need information regarding unknown insects of paddy crop ,For control of sheath blight in paddy crop spray of validamycin 3% l @ 300 ml mix with 150-200 litre water per acre. eradication of affected plant.
Cultural Practices,Farmer wants to maintain temperature in open field,No any chemical or practices for maintain temperature in open field.
Cultural Practices,Farmer needs information regarding sowing time of elephant foot yam crop ,"Pulses crop which is grown in winter season- chickpea, lentil, lethyrus etc."
Cultural Practices,Farmer needs information regarding sowing of pulses crop in winter season ,"Pulses crop which is grown in winter season- chickpea, lentil, lethyrus etc."
Cultural Practices,Farmer needs information regarding planting distance of elephant foot yam crop ,"Pulses crop which is grown in winter season- chickpea, lentil, lethyrus etc."
Plant Protection,Farmer wants to know information about weed management in empty field,"In the empty field, you dissolve paraquat dichloride 24% sl @ 500 ml per acre in 150-200 litres of water and do not grow any kind of crop in it for at least 15 days."
Plant Protection,Farmer wants to know about the management of the mites in the paddy ,"Dear farmer, for the management of the mites in the paddy crop kindly spray of the propergite 57 ec @ 300 millilitre per acre (or) ethion 50 ec @ 300 millilitre per acre area and mix it with the 150-200 litre of water for one acre area."
Plant Protection,Query about blast in paddy ,Dear farmer to control brown plant hopper in paddy spray flonicamide 50 % wg @ 80 gram per acre mix with 150 - 200 litres of water .
Plant Protection,Farmer wants to know information about control of leaf roller or leaf folder on paddy crop,Dear farmer to control blast in paddy spray tricyclazole 75 % wp @ 120- 150 gram + streptocycline 15 - 20 gram per acre mix with 150 - 200 litres of water .
Plant Protection,Farmer needs information regarding spacing in brinjal,Recommended keep row to row 85cm and plan to plant 60 cm spacing in brinjal
Plant Protection,Farmer needs information regarding control of blast sheath blight disease in paddy crop ,"Recommended for the sheath blight disease in paddy crop spray tebuconazole 50% + trifloxystrobin 25%, 75 wg(50% +25% w/w) 8 gram and streptocyclin 2 gram at 15 litre of water (for blast, sheath blight, neck rot and early blight)"
Credit,Farmer wants to know about credit for poultry farming,You can take a loan for poultry farming through the kisan credit card.
Plant Protection,Farmer need information regards control of rice hispa in paddy crop,Dear farmer for the management of rice hispa in paddy crop apply chlorpyrifos 50% + cypermethrin 5% ec 250-300 ml with 150-200 litre of water.
Plant Protection,Farmer need information regards control of case worm in paddy crop,Dear farmer for the management of case worm in paddy crop apply bifenthrin 10% ec @ 200 ml/acre with 150-200 litre of water.
Seeds and Planting Material,Farmer needs information regarding hybrid varieties of tomato crop ,"Hybrid varieties of tomato crop- shaktiman, abhinav, no- 848, dev, no- 1004, no- 1006 etc."
Plant Protection,Farmer needs information regarding control of bacterial leaf blight in paddy ,For control of bacterial leaf blight in paddy crop spray of tricyclazole 75 % wp @ 120-150 gram + streptocyclin 15 gram mix with 150-200 litre water per acre. eradication of affected plant.
Government Schemes,Farmer needs information regarding subsidy for cow rearing ,"Dear farmer, for cow rearing subsidy of 50% for the general category and backward classes and for the scheduled castes and scheduled tribes, 66.6% is for the cow rearing . please contact the animal husbandry department bilaspur for better information dr. r. k sonvanee= 88271-87000."
Plant Protection,Farmer want to know how to control gandhi bug in paddy crop ,You can apply buprofezin 25% sc @ 320 ml/acre mix with 150-200 litre of water for control measure gandhi bug in paddy crop.
Plant Protection,Farmer wants to know about the control of the mealy bug attack in citrus plant,For control of mealy bug spray fipronil 5% sc @ 2 ml per litre of water in citrus plant in the evening time.
Plant Protection,Farmer wants information about control of root rot in tomato crop ,To control of root rot in tomato crop spray of azoxystrobin 23 % sc @ 200 ml per acre mix with 150-200 litre of water .
Plant Protection,Query about brown plant hopper in paddy field ,For control of brown plant hopper attack in paddy spray flubendiamide 4% + buprofezin 20% sc @ 350 ml per acre with 150 to 200 litres of water in the evening time make sure to remove water from the field.before spraying in the field first spray on the bunds.
Plant Protection,Farmer needs information regarding control of rust in cowpea crop ,For control of rust in cowpea crop root drenching of propiconazole 25 % ec @ 150-200 ml + streptocyclin 15 gram mix with 150-200 litre water per acre. eradication of affected plant.
Plant Protection,Query about brown plant hopper in paddy ,Dear farmer to control panicle mite in paddy crop spray propargite 57% ec @ 300 mlilitree per acre mix with 150 - 200 litree of water .
Plant Protection,Query about brown plant hopper in paddy field ,For control of brown plant hopper attack in paddy spray pymetrozine 50% wg @ 120 gram per acre with 150 to 200 litres of water in the evening time make sure to remove water from the field.before spraying in the field first spray on the bunds.
Plant Protection,Farmer needs information regarding management for blast of paddy ,For management of blast in paddy crop spray of tebuconazole 50% + trifloxystrobin 25% wg @ 80 gram per acre mix with 150-200 litre water. eradication of affected plant.
Plant Protection,Farmer wants to know about control of smut disease in paddy,For control of smut disease in paddy spray validamycin 3%l @ 250 ml per acre with 150 to 200 litre of water.
Cultural Practices,Farmer wants information about get daily messages related to agriculture on your mobile,You can register your mobile number in krishi vigyan kendra to get daily messages related to agriculture on your mobile.
Plant Protection,Farmer wants information about control brown hopper in paddy crop ,You can register your mobile number in krishi vigyan kendra to get daily messages related to agriculture on your mobile.
Water Management,Farmer wants to know water management in paddy,After milking stage you can drain water from paddy.
Cultural Practices,Farmer needs information regarding average yield of wheat crop ,Sowing time of wheat crop is 1 november to 30 november.
Cultural Practices,Farmer needs information regarding average yield of lethyrus crop ,Sowing time of wheat crop is 1 november to 30 november.
Cultural Practices,Farmer needs information regarding harvesting time of lethyrus crop ,Sowing time of wheat crop is 1 november to 30 november.
Cultural Practices,Farmer needs information regarding harvesting time of wheat crop ,Sowing time of wheat crop is 1 november to 30 november.
Plant Protection,Query about brown plant hopper in paddy field ,For control of brown plant hopper attack in paddy spray imidachloprid 40% + ethiprole 40% wg@ 50 -60 gram per acre with 150 to 200 litres of water in the evening time make sure to remove water from the field.before spraying in the field first spray on the bunds.
Plant Protection,Farmer wants to management of panicle mite in paddy,"For the management of panicle mite in paddy, spray spiromesifen 240 sc @250 ml/acre with 150-200 litre of water. first spray on bunds then in field. waiting period 3 to 4 days."
Varieties,Farmer needs information regarding improved varieties of chickpea crop ,Sowing time of chickpea crop is 15 october to 30 november.
Cultural Practices,Farmer needs information regarding availability of chickpea seeds ,Sowing time of chickpea crop is 15 october to 30 november.
Plant Protection,Farmer need information regards the yellowing problem in paddy crop,Dear farmer for the management of yellowing problem in paddy crop first confirm the symptoms and then again call in kisan call center.
Varieties,Farmer need information regards suitable variety of wheat,"Dear farmer the suitable variety of wheat crop is lok 1, hw 2004, sujata, c-306 can be used for cultivation."
Plant Protection,Farmer needs information regarding control of gundhi bug insect attack in paddy crop ,For control of stem borer in paddy crop apply cartap hydrochloride 4% gr @ 8 to 10 kg per acre mix with 10 kg sand and mix with 2 litres of water. eradication of affected plant.
Cultural Practices,Farmer wants to know about average yield of sunflower,Average yield of sunflower is 8 - 10 qt per acre.
Cultural Practices,"Farmer wants to know about sowing time ,fertilizer dose and spacing of sunflower ",Average yield of sunflower is 8 - 10 qt per acre.
Cultural Practices,Farmer wants to know about varieties of sunflower suitable for bilaspur district,Average yield of sunflower is 8 - 10 qt per acre.
Plant Protection,Farmer needs information regarding control of false smut in paddy crop ,For control of false smut in paddy crop spray of copper hydroxide 77% wp @ 300-400 gram + streptocyclin 15 gram mix with 150-200 litre water per acre. eradication of disease affected plant.
Cultural Practices,Farmer needs information regarding yield of mushroom ,"The yield of mushroom depends entirely on your management, so do proper management to get good yield."
Plant Protection,Query about brown plant hopper in paddy ,Dear farmer to control panicle mite in paddy crop spray propargite 57% ec @ 300 millilitre per acre mix with 150 - 200 litre of water .
Plant Protection,Farmer wants to know about control of pod borer attack in cowpea crop,For control of gram pod borer attack in cowpea crop spray indoxacarb 14.5 % sc @ 150 mililitre per acre with 150 to 200 litres of water.
Cultural Practices,Farmer need information regarding the cultivation practices of potato crop,"Dear farmer in the plain areas the ideal showing timing is october-november month and the suitable variety of potato crop is kufri jyoti, kufri swarna, kufri malhar, kufri giriraj variety."
Plant Protection,Farmer wants to know about how to increase flowering in dolichos bean,To increase flowering in dolichos bean spray amino acid+folic acid @ 100 ml per acre with 150 to 200 litres of water.
Plant Protection,Farmer wants information about control white fly in paddy crop ,For control white fly in paddy crop spray of thiamethoxam 12.6% + lambda cyhalothrin 9.5% zc @ 80 ml per acre mix with 150-200 litre of water .
Plant Protection,Farmer wants to know about control of brown spot disease in paddy ,For control of brown spot disease in paddy spray propiconazole 25% ec@ 200 ml per + streptocycline 15 gram per acre with 150 to 200 litre of water. remove infected plants and do not irrigate your field.
Plant Protection,Farmer want to know information about can propiconazole 25% ec be use before of the disease,Do not spray propiconazole 25% ec before it becomes disease in paddy crop.
Varieties,Farmer needs information regarding improved varieties of wheat crop ,"Improved varieties of wheat crop- lok-1, ratan, arpa, h.w.-2004, sujata, c-306, h.i.-1500, kanchan, vidisha etc."
Seeds,Query about improved varieties of wheat ,"Dear farmer improved varieties of wheat lok 1 , hw 2004 , sujata , c 306 ."
Varieties,Farmer needs information regarding availability of wheat seeds ,"Improved varieties of wheat crop- lok-1, ratan, arpa, h.w.-2004, sujata, c-306, h.i.-1500, kanchan, vidisha etc."
Plant Protection,Farmer needs information regarding control of brown plant hopper insect attack in paddy crop ,Imidachloprid 40 % + ethiprole 40 % wg is an insecticide which is used to control of plant hopper insects in paddy crop.
Plant Protection,Farmer needs information regarding use of imidachloprid 40 % + ethiprole 40 % wg in paddy crop ,Imidachloprid 40 % + ethiprole 40 % wg is an insecticide which is used to control of plant hopper insects in paddy crop.
Government Schemes,Farmer want to know information about pradhan mantri kisan samman nidhi yojana,"For information about pradhan mantri kisan samman nidhi scheme, you can contact patwari or choice center."
Government Schemes,Farmer want to know information about subsidy on agriculture machinery ,"Sub mission on agriculture mechanization scheme will get 40-50% subsidy for this, so that you can contact the rural agricultural extension officer."
Government Schemes,Farmer want to know information about pradhan mantri kisan samman nidhi yojana,Fyou can contact patwari for information about pradhan mantri kisan samman nidhi yojana.
Government Schemes,Farmer wants to know information about pradhan mantri shram yogi maan-dhan (pm-sym),Fyou can contact patwari for information about pradhan mantri kisan samman nidhi yojana.
Cultural Practices,Farmer wants to know information about sowing time of october to november vegetable crop,Fyou can contact patwari for information about pradhan mantri kisan samman nidhi yojana.
Cultural Practices,Farmer wants to know information about fisheries department bilaspur contact number,Fyou can contact patwari for information about pradhan mantri kisan samman nidhi yojana.
Plant Protection,Farmer needs information regarding control for brown hopper and white backed plant hopper in paddy crop ,"For control of brown hopper and white backed plant hopper in paddy crop can spray ethiprole 40% + imidacloprid 40 % wg @ 70 grams per acre in mix with 150 to 200 litres of water, sprinkle for evening time, do 2 spraying in the bunds."
Plant Protection,Farmer wants to know about control of cut worm in paddy,"For the management of cut worm in paddy, spray chlorpyrifos 50% + cypermethrin 5% ec @350-400 ml/acre with 150 -200 litre of water."
Plant Protection,Farmer query about management of whorl maggot in paddy crop,"Dear farmer, for the management of whorl maggot in paddy crop ,you can spray fipronil 5% sc @ 250 ml/acre with 150-200 litre of water."
Plant Protection,Farmer wants to know about control of sheath blight disease in paddy,Dear farmer for the management of plant hopper in paddy crop apply flonicamid 50% wg @ 80 gram/acre with 150-200 litre of water.
Plant Protection,Farmer wants to know about control of stem borer attack in paddy,"For the management of stem borer attack in paddy, spray chlorpyrifos 50% + cypermethrin 5% ec @350-400 ml/acre with 150 -200 litre of water."
Plant Protection,Farmer wants to know about management of root rot disease in fenugreek,"For the management of stem borer attack in paddy, spray chlorpyrifos 50% + cypermethrin 5% ec @350-400 ml/acre with 150 -200 litre of water."
Plant Protection,Farmer want to know information about control measure semilooper insect in indian bean crop,You can apply indoxacarp 14.5 % sc @ 100-120 ml/acre mix with 150-200 litre of water for control measure semilooper insect in indian bean crop.
Nutrient Management,Farmer want to know information about nutrient management in indian bean crop,You can apply indoxacarp 14.5 % sc @ 100-120 ml/acre mix with 150-200 litre of water for control measure semilooper insect in indian bean crop.
Cultural Practices,Farmer needs information regarding availability of tulsi seed and marketing of tulsi ,You can contact dr. arun tripathi-9753345714 for information on the availability and marketing of tulsi seeds.
Cultural Practices,Farmer want to know information about whom to consult to tack land in lease ,You can contact patwari to lease the field.
Plant Protection,Farmer needs information regarding control measure white fly insect in tomato crop,You can apply imidacloprid 17.8 sl @ 50 ml/acre mix with 150-200 litre of water for control measure white fly insect in tomato crop.
Plant Protection,Farmer want to know information about control measure mite insect in cowpea crop,You can apply imidacloprid 17.8 sl @ 50 ml/acre mix with 150-200 litre of water for control measure white fly insect in tomato crop.
Plant Protection,Farmer want to know information about control measure brown plant hopper in paddy crop,You can apply buprofezin 25% sc @ 320 ml/acre mix with 150-200 litre of water for control measure brown plant hopper in paddy crop.
Plant Protection,Farmer wants to know about control of anthracnose in papaya,For control of anthracnose in papaya spray copper oxychloride 50% wp @ 2.5 gram + streptocycline 0.1 gram per litre of water . remove infected plant parts.
Plant Protection,Farmer wants information about control of white fly in paddy crop ,To control of white fly in paddy crop spray of cartap hydroclorid 50% sp @ 400 gram per acre mix with 150-200 litre of water.
Plant Protection,Farmer needs information regarding control of sheath blight in paddy crop ,To control of white fly in paddy crop spray of cartap hydroclorid 50% sp @ 400 gram per acre mix with 150-200 litre of water.
Plant Protection,Framer wants information about control of leaf eating caterpillar in tomato crop ,To control of leaf eating caterpillar in tomato crop spray of emamectin benzoate 5% sg @ 100 gram per acre mix with 150-200 litre of water .
Plant Protection,Farmer wants to know information about variety of bengal gram,"For cultivation of bengal gram crop, farmer can used following variety of bengal gram1. jg- 742. jg- 113. vaibhaw4. jg- 3155. jg - 16. jg - 167. indira chana â€“ 1"
Plant Protection,Farmer wants to know information about control of leaf folder on paddy crop,"For cultivation of bengal gram crop, farmer can used following variety of bengal gram1. jg- 742. jg- 113. vaibhaw4. jg- 3155. jg - 16. jg - 167. indira chana â€“ 1"
Plant Protection,Farmer wants to know about control of penical blast disease in paddy,For control of penical blast disease in paddy spray validamycin 3%l @ 250 ml per acre with 150 to 200 litre of water.
Cultural Practices,Framer wants information about control of leaf eating caterpillar in tomato crop ,To control of leaf eating caterpillar in tomato crop spray of chlorpyrifos 50% + cypermethrin 5% ec @ 250-300 ml per acre mix with 150-200 litre of water .
Cultural Practices,Farmer wants information about pm kisan samman nidhi scheme,"For information related to the prime minister kisan samman nidhi scheme, you can contact www.pmkisan.gov.in on this website."
Plant Protection,Farmer wants to know about control of cut worm attack in paddy crop,For control of cut worm attack in paddy crop apply carbofuron 3 % g @ 5-6 kg per acre with 8 to 10 kg of wet sand make sure to remove water from field.
Plant Protection,Farmer wants to know about control of brown plant hopper attack in paddy crop,For control of brown plant hopper attack in paddy spray flubendiamide 4% + buprofezin 20% sc@ 350 ml per acre with 150 to 200 litres of water in the evening time make sure to remove water from the field.before spraying in the field first spray on the bunds.
Plant Protection,Farmer wants to know about control of bean aphid attack in cowpea,For control of bean aphid attack in cowpea spray imidacloprid 17.8% sl @ 50 to 70 millilitre per acre with 150 to 200 litre of water.
Cultural Practices,Query about whom to consult for registration in mandi ,Dear farmer to consult for registration in mandi contact mandi officials .
Nutrient Management,Farmer wants to increase growth of paddy,Paddy crop will no longer grow.
Plant Protection,Farmer wants information about control of cutworms in paddy crop ,To control of cutworms in paddy crop apply chlorpyrifos 20% ec @ 400 ml per acre mix with 150-200 litre of water.
Plant Protection,Farmer need information that while using carbofuran 3% gr water should be remove from field or not,Dear farmer while using carbofuran 3% gr water should be remove from field but only moisture should be maintained.
Plant Protection,Farmer wants information about control of cutworms in paddy crop ,To control of cutworms in paddy crop apply chlorpyrifos 20% ec @ 1000 ml per acre mix with 10 kg sand .
Government Schemes,Farmer wants to know information about registration of his crops in advisory details of kisan call centre,"On the request of farmer for registration of his crops in advisory details of kisan call centre, it will said that the crops has been successfully registered in advisory details of kisan call centre"
Plant Protection,Farmer is having query about the micro nutrient but he is not confirm with the name of chemical,Dear farmer first confirm the name of the chemical and then again call in kisan call center for better information.
Plant Protection,Farmer wants information about control brown hopper in paddy crop ,For control of false smut in paddy crop spray of copper hydroxide 77 % wp @ 350 gram + streptocycline 15 gram per acre with 150-200 litre of water .
Plant Protection,Farmer wants to know about control of stem borer attack in paddy crop,For control of stem borer attack in paddy crop broadcast cartap hydrochloride 4% gr @ 8-10 kg/acre with 10 kg moist sand and remove infected plants. remove water from field.
Plant Protection,Farmer wants to know about control of smut disease in paddy,For control of smut disease in paddy crop spray validamycin 3%l @ 250 ml per acre with 150 to 200 litre of water.
Plant Protection,Farmer wants to know about control of rotting in spinach,For control of rotting in spinach spray copper oxychloride 50% wp @ 2.5 gram + streptocycline 0.1 gram per litre of water . remove infected plant parts.
Government Schemes,Farmer want to know information about pradhan mantri kisan samman nidhi yojana,You can contact patwari for information about pradhan mantri kisan samman nidhi yojana.
Plant Protection,Farmer want to know information about control measure panicle mite insect in paddy crop,You can apply spiromesifen 240 % sc @250 ml/acre with 150-200 litre of water for control measure panicle mite insect in paddy crop.
Plant Protection,Farmer wants to know about control of neck blast disease in paddy ,For control of neck blast disease in paddy spray tebuconazole 50% + trifloxystrobin 25% wg @ 50- 70 gram per acre with 150 to 200 litre of water. remove infected plants and do not irrigate your field.
Plant Protection,Farmer wants to know about control of brown plant hopper attack in paddy crop,For control of neck blast disease in paddy spray tebuconazole 50% + trifloxystrobin 25% wg @ 50- 70 gram per acre with 150 to 200 litre of water. remove infected plants and do not irrigate your field.
Cultural Practices,Farmer wants to know information about characteristics of lock-1 variety of wheat crop,"Characteristics of gw-273 variety of wheat crop-duration - 115 - 120 days, yield - 40-45 quintal per hectare. this variety is medium dwarf type."
Cultural Practices,Farmer wants to know information about characteristics of gw-273 variety of wheat crop,"Characteristics of gw-273 variety of wheat crop-duration - 115 - 120 days, yield - 40-45 quintal per hectare. this variety is medium dwarf type."
Plant Protection,Query about brown plant hopper in paddy field ,Do not apply any insecticide for brown plant hopper in paddy crop.
Cultural Practices,Farmer wants to know information about cultivation of cauliflower crop,There are following point should be consider while cultivation of cauliflower cropsowing time- june to julyseed rate - 150-160 gram per acrerow to row distance - 45 cmplant to plant distance - 45 cmfertilizer dose dap - 70 kg per acreurea - 100 kg per acrepotash - 40 kg per acre.
Varieties,Query about variety of wheat,"Wheat variety :-ratan, c- 306, chhattisgarh -1,2,3 , sujata"
Cultural Practices,Farmer wants information about yield of mustard crop ,Average yield of mustard crop irrigated area can be taken at the rate of 20 to 25 quintals per hectare.
Credit,Farmer wants information about animal husbandry loan,"For animal husbandry loan, you can contact the nearest bank."
Plant Protection,Farmer needs information regarding control of brown plant hopper in paddy crop ,For control of brown plant hopper in paddy crop spray of triflumezopyrim 10% sc @ 90 ml mix with 150-200 litre water per acre.
Plant Protection,Farmer wants to about control of mealy bug in paddy,"For control of mealy bug in paddy spray buprofezin 25% sc @320 ml per acre with 150 to 200 litre of water,in the evening first spray on bunds then in field."
Plant Protection,Query about brown plant hopper in paddy field ,For control of brown plant hopper attack in paddy spray imidacloprid 70 %wp/wg @ 50 -60 gram per acre with 150 to 200 litres of water in the evening time make sure to remove water from the field.before spraying in the field first spray on the bunds.
Nutrient Management,Farmer query about nutrient management in paddy,For control of brown plant hopper attack in paddy spray imidacloprid 70 %wp/wg @ 50 -60 gram per acre with 150 to 200 litres of water in the evening time make sure to remove water from the field.before spraying in the field first spray on the bunds.
Plant Protection,Farmer wants to know about control of false smut disease in paddy crop,For control of false smut disease in paddy crop spray copper hydroxide 77% wp @ 300 gram per acre with 150 to 200 litre of water.
Plant Protection,Farmer needs information regarding control for stem borer in paddy ,For control of stem borer in paddy crop apply cartap hydrochloride 4% gr @ 8 to 10 kg per acre mix with 10 kg sand and mix with 2 litres of water.
Government Schemes,Farmer wants to know information about pradhan mantri shram yogi maan-dhan (pm-sym),"This scheme is provide by central government, under this scheme pradhan mantri shram yogi maan-dhan (pm-sym) yojana. farmers, who fall under the age of 18 to 40 years can avail this scheme. the premium rate will be 55-200 rs. per month for the farmers whose age in between 18 and 60 years .the amount of rs. 3000 per month will be provided as the pension after the completion of 60 year. for registration on this scheme farmer can contact to the nearly situated choice centres."
Fertilizer Use and Availability,Farmer needs information regarding fertilizer dose of bitter gourd crop ,"Fertilizer dose of bitter gourd crop:- dap- 50 kg per acre, urea :- 45 kg per acre , mop:- 40 kg per acre"
Seeds and Planting Material,Farmer needs information regarding improved varieties of bitter gourd crop ,"Fertilizer dose of bitter gourd crop:- dap- 50 kg per acre, urea :- 45 kg per acre , mop:- 40 kg per acre"
Seeds and Planting Material,Farmer needs information regarding improved varieties of brinjal crop ,"Fertilizer dose of bitter gourd crop:- dap- 50 kg per acre, urea :- 45 kg per acre , mop:- 40 kg per acre"
Seeds and Planting Material,Farmer needs information regarding improved varieties of chilly crop ,"Fertilizer dose of bitter gourd crop:- dap- 50 kg per acre, urea :- 45 kg per acre , mop:- 40 kg per acre"
Seeds and Planting Material,Farmer needs information regarding improved varieties of bottle gourd crop ,"Fertilizer dose of bitter gourd crop:- dap- 50 kg per acre, urea :- 45 kg per acre , mop:- 40 kg per acre"
Seeds and Planting Material,Farmer needs information regarding improved varieties of coriander crop ,"Fertilizer dose of bitter gourd crop:- dap- 50 kg per acre, urea :- 45 kg per acre , mop:- 40 kg per acre"
Plant Protection,Farmer want to know information about pre-insect control in pigeonpea crop,"For the control of the insect in the pigeonpea crop, you can spray neem oil @ 750 ml per acre in 150 to 200 litres of water."
Plant Protection,Farmer wants to know information about control of brown plant hopper in paddy crop,"For control of brown plant hopper in paddy crop, farmer can spray 1. imidachloprid 17.8 % sl @ 50-70 gram per acre mixed with 150-200 litre of water."
Plant Protection,Farmer wants to know information about control of false smut in paddy crop at starting period,"For management of false smut of paddy, farmer can spray copper hydroxide 77% wp @ 300 gram/acre mixed with streptocyclin @15 gram/acre with 150-200 litre of water."
Plant Protection,Farmer wants to know about control of neck blast disease in paddy,For control of neck blast disease in paddy spray tebuconazole 50% + trifloxystrobin 25% wg @ 80gram per acre with 150 to 200 litre of water. remove infected plants and do not irrigate your field.
Plant Protection,Farmer need information regarding the management of tuber rot in potato crop,Dear farmer for the management of tuber rot in potato crop treat the soil with trichoderma culture along with farmyard manure and sprinkle water over it and apply in field but after the planting you can drench the soil with the copper copper (syngenta)@ 400 gram+ streptocycline 15 gram per acre with 150 to 200 litre of water .
Cultural Practices,Farmer need information regarding cultural practices in lethyrus crop ,"Dear farmer, improved varieties of wheat crop- lok-1, ratan, arpa, h.w.-2004, sujata, c-306, h.i.-1500, kanchan, vidisha etc."
Varieties,Farmer needs information regarding improved varieties of wheat crop ,"Dear farmer, improved varieties of wheat crop- lok-1, ratan, arpa, h.w.-2004, sujata, c-306, h.i.-1500, kanchan, vidisha etc."
Market Information,Pm-kisan & pm-kisan maan dhan yojna (pm-kmy) help desk number.,Pm-kisan & pm-kisan maan dhan yojna (pm-kmy) help desk number.
Plant Protection,Information regarding the better yield of the paddy and basmati ,Spray npk 0:00:50 potassium 1 kg in 100 litres of water per acre at ear heading stage.
Fertilizer Use and Availability,Information regarding manures and fertilizers used in potato crop,Spray npk 0:00:50 potassium 1 kg in 100 litres of water per acre at ear heading stage.
Plant Protection,Information regarding the control of sheath blight in paddy crop,For control of sheath blight in paddy spray 200 ml tilt/bumper (propiconazole 25 ec) or 200 ml amistar top 325 sc (azoxystrobin+difenoconazole) or 80 gram nativo 75 wg (tebuconazole+trifloxystrobin) or 200 ml folicur/orius 25.9 ec (tebuconazole) or 320 ml lusture (flusilazole+carbendazim) or 200 ml monceren 250 sc (pencycuron) or 200 gram bavistin 50 wp (carbendazim) in 200 litres of water per acre.
Plant Protection,How to control mealy bug in guava plants ,In guava plants spray chloropyriphos 20ec 1875 ml in 500 litre of water.
